Date	Open	High	Low	Close	Volume
2021-10-25 05:00:00	1521.35	1561.86	1521.35	1536.51	446100
2021-10-26 05:00:00	1545.6	1552.18	1517.54	1544.66	281300
2021-10-27 05:00:00	1543.78	1549.0	1499.05	1500.0	373500
2021-10-28 05:00:00	1500.0	1528.52	1481.88	1516.87	376800
2021-10-29 05:00:00	1501.99	1504.33	1477.48	1481.02	424400
2021-11-01 05:00:00	1485.58	1500.0	1471.74	1489.66	411500
2021-11-02 05:00:00	1498.25	1509.42	1479.82	1508.71	312700
2021-11-03 05:00:00	1522.44	1546.7	1508.55	1531.93	475600
2021-11-04 05:00:00	1524.44	1568.72	1524.44	1556.49	525200
2021-11-05 05:00:00	1652.5	1705.14	1605.0	1629.76	942900
2021-11-08 05:00:00	1644.38	1664.98	1610.95	1650.0	516000
2021-11-09 05:00:00	1674.86	1711.02	1660.14	1709.98	551200
2021-11-10 05:00:00	1687.31	1698.35	1570.64	1592.22	557300
2021-11-11 05:00:00	1614.84	1626.67	1575.5	1577.08	291700
2021-11-12 05:00:00	1594.9	1607.5	1563.22	1597.15	323300
2021-11-15 05:00:00	1603.62	1642.61	1601.92	1633.21	294100
2021-11-16 05:00:00	1515.01	1550.0	1515.0	1541.55	1322400
2021-11-17 05:00:00	1540.01	1540.99	1477.79	1487.33	690400
2021-11-18 05:00:00	1485.01	1486.7	1428.21	1446.1	782500
2021-11-19 05:00:00	1451.18	1454.58	1394.01	1401.27	852200
2021-11-22 05:00:00	1429.13	1435.0	1311.68	1314.83	1113000
2021-11-23 05:00:00	1315.0	1337.21	1273.85	1285.0	885200
2021-11-24 05:00:00	1282.58	1308.3	1263.0	1273.0	837900
2021-11-26 05:00:00	1294.71	1296.63	1244.0	1258.71	464800
2021-11-29 05:00:00	1286.92	1292.45	1223.34	1234.1	961300
2021-11-30 05:00:00	1230.0	1246.99	1185.0	1188.41	895600
2021-12-01 05:00:00	1214.67	1215.0	1104.04	1104.2	1039000
2021-12-02 05:00:00	1110.01	1140.0	1090.12	1129.22	1516800
2021-12-03 05:00:00	1138.14	1138.14	1040.84	1052.95	1293200
2021-12-06 05:00:00	1050.0	1116.84	1018.73	1112.14	1361800
2021-12-07 05:00:00	1160.0	1197.94	1160.0	1178.26	1308400
2021-12-08 05:00:00	1176.16	1211.65	1170.0	1210.4	1194000
2021-12-09 05:00:00	1202.06	1221.19	1131.04	1131.84	941500
2021-12-10 05:00:00	1150.0	1184.99	1126.92	1144.5	652900
2021-12-13 05:00:00	1141.96	1183.0	1125.03	1180.0	732000
2021-12-14 05:00:00	1157.46	1193.19	1150.0	1190.4	645300
2021-12-15 05:00:00	1181.44	1219.74	1155.1	1210.12	608100
2021-12-16 05:00:00	1231.6	1260.3	1161.7	1178.03	748600
2021-12-17 05:00:00	1167.24	1200.82	1135.09	1187.55	742500
2021-12-20 05:00:00	1150.26	1200.0	1138.64	1187.36	409700
2021-12-21 05:00:00	1195.0	1232.0	1179.22	1224.51	558200
2021-12-22 05:00:00	1219.0	1241.0	1213.68	1227.94	339700
2021-12-23 05:00:00	1225.97	1265.66	1216.29	1262.73	420200
2021-12-27 05:00:00	1275.0	1310.52	1273.0	1299.11	485800
